n_ac_risk_impacts,project_name,n_risks,n_mitigations_per_risk,n_mitigations,n_ac_impacts_per_risk,project_id,n_activities,n_penalties,A-total-investment,B-total-investment,C-total-investment,D-total-investment,activities_impact_cost,algorithm,algorithm_gap,algorithm_lb,baseline_cost,best_sol_iter,best_sol_time,crashing_cost,execution_master,execution_separation,execution_time,gap,investment_level,investment_limit,mitigations_cost,n_crashing_activities,n_iterations,n_materialized_risks,n_mitigations,penalties_cost,project,topology,total_cost,total_investment,unc_budget,unc_budget_level,uncertainty_cost
48,SP-psplib_j1242_2.mm-psplib_j1256_6.mm-psplib_j1212_7.mm-psplib_j1246_10.mm,16,1.0,16,3.0,SP,48,4,115.0,149.0,57.0,52.0,223.0,Min-Max,0.0,1266.0,400.0,92,918.859129906,105.0,909.822964191,9.947047472,919.840251923,0.0,100%,829.0,268.0,13,93,11,12,270.0,SP-psplib_j1242_2.mm-psplib_j1256_6.mm-psplib_j1212_7.mm-psplib_j1246_10.mm,Diamond,1266.0,373.0,811.8,60%,803.0
48,SP-psplib_j1217_5.mm-psplib_j129_6.mm-psplib_j1258_10.mm-psplib_j1250_5.mm,16,1.0,16,3.0,SP,48,4,77.0,95.0,131.0,134.0,206.0,Min-Max,-2.64984358599e-14,1064.0,385.0,54,259.264624119,157.0,474.578124523,5.772585392,495.703494072,0.0,100%,818.0,280.0,17,71,11,13,36.0,SP-psplib_j1217_5.mm-psplib_j129_6.mm-psplib_j1258_10.mm-psplib_j1250_5.mm,Diamond,1064.0,437.0,854.4,60%,849.0
48,SP-psplib_j1263_4.mm-psplib_j1234_8.mm-psplib_j1260_6.mm-psplib_j1227_7.mm,16,1.0,16,3.0,SP,48,4,103.0,73.0,94.0,87.0,125.0,Min-Max,1.34540636357e-16,845.0,358.0,53,221.65387702,67.0,308.868774891,5.36414122581,325.424579144,0.0,100%,647.0,290.0,8,63,10,15,5.0,SP-psplib_j1263_4.mm-psplib_j1234_8.mm-psplib_j1260_6.mm-psplib_j1227_7.mm,Diamond,845.0,357.0,834.0,60%,833.0
48,SP-psplib_j1249_4.mm-psplib_j1218_3.mm-psplib_j1224_4.mm-psplib_j1246_2.mm,16,1.0,16,3.0,SP,48,4,191.0,33.0,116.0,146.0,223.0,Min-Max,0.0,1208.0,369.0,116,1122.21715403,124.0,1109.14600825,14.2859642506,1123.50886989,0.0,100%,757.0,362.0,14,117,10,13,130.0,SP-psplib_j1249_4.mm-psplib_j1218_3.mm-psplib_j1224_4.mm-psplib_j1246_2.mm,Diamond,1208.0,486.0,825.0,60%,817.0
48,SP-psplib_j1261_10.mm-psplib_j1263_8.mm-psplib_j1252_7.mm-psplib_j1261_7.mm,16,1.0,16,3.0,SP,48,4,136.0,44.0,167.0,27.0,162.0,Min-Max,0.0,923.0,379.0,37,92.0442481041,59.0,331.801234484,6.97447824478,349.789636135,0.0,100%,859.0,315.0,7,65,11,12,8.0,SP-psplib_j1261_10.mm-psplib_j1263_8.mm-psplib_j1252_7.mm-psplib_j1261_7.mm,Diamond,923.0,374.0,807.6,60%,776.0
48,SP-psplib_j1229_1.mm-psplib_j129_7.mm-psplib_j1216_8.mm-psplib_j1249_4.mm,16,1.0,16,3.0,SP,48,4,104.0,74.0,75.0,81.0,253.0,Min-Max,-6.97879597895e-15,1010.0,372.0,151,3280.47521591,73.0,3263.84929037,18.3771080971,3282.31787491,0.0,100%,806.0,261.0,9,152,10,12,51.0,SP-psplib_j1229_1.mm-psplib_j129_7.mm-psplib_j1216_8.mm-psplib_j1249_4.mm,Diamond,1010.0,334.0,878.4,60%,798.0
48,SP-psplib_j1259_9.mm-psplib_j1212_9.mm-psplib_j1247_6.mm-psplib_j1218_2.mm,16,1.0,16,3.0,SP,48,4,140.0,20.0,76.0,34.0,224.0,Min-Max,1.20814917876e-15,941.0,383.0,150,2525.32466698,76.0,2509.61998177,17.3126535416,2527.05302095,0.0,100%,742.0,194.0,8,151,10,13,64.0,SP-psplib_j1259_9.mm-psplib_j1212_9.mm-psplib_j1247_6.mm-psplib_j1218_2.mm,Diamond,941.0,270.0,858.0,60%,784.0
48,SP-psplib_j1218_8.mm-psplib_j1238_1.mm-psplib_j1256_1.mm-psplib_j1214_1.mm,16,1.0,16,3.0,SP,48,4,109.0,85.0,150.0,62.0,131.0,Min-Max,0.0,970.0,375.0,49,212.89073801,137.0,486.207469702,15.7717518806,519.096179962,0.0,100%,654.0,269.0,15,71,9,15,58.0,SP-psplib_j1218_8.mm-psplib_j1238_1.mm-psplib_j1256_1.mm-psplib_j1214_1.mm,Diamond,970.0,406.0,841.2,60%,776.0
48,SP-psplib_j1217_5.mm-psplib_j1251_1.mm-psplib_j1257_4.mm-psplib_j1218_8.mm,16,1.0,16,3.0,SP,48,4,77.0,135.0,72.0,43.0,206.0,Min-Max,0.0,1042.0,385.0,93,786.894903183,124.0,825.342351675,13.9204902649,855.096014977,0.0,100%,626.0,203.0,14,97,10,12,124.0,SP-psplib_j1217_5.mm-psplib_j1251_1.mm-psplib_j1257_4.mm-psplib_j1218_8.mm,Diamond,1042.0,327.0,843.6,60%,805.0
48,SP-psplib_j1663_6.mm-psplib_j1647_9.mm-psplib_j1643_9.mm-psplib_j1649_2.mm,16,1.0,16,3.0,SP,64,4,99.0,77.0,105.0,99.0,156.0,Min-Max,0.0,1032.0,496.0,91,1155.46560907,57.0,3142.63555121,16.9495549202,3224.23436403,0.0,100%,834.0,323.0,7,133,10,15,0,SP-psplib_j1663_6.mm-psplib_j1647_9.mm-psplib_j1643_9.mm-psplib_j1649_2.mm,Diamond,1032.0,380.0,819.0,60%,817.0
48,SP-psplib_j1619_1.mm-psplib_j1655_1.mm-psplib_j1643_4.mm-psplib_j1630_9.mm,16,1.0,16,3.0,SP,64,4,278.0,81.0,113.0,98.0,252.0,Min-Max,0.0,1365.0,503.0,117,2329.88454103,169.0,2368.95860291,13.8686175346,2434.36847997,0.0,100%,1082.0,401.0,22,119,11,10,40.0,SP-psplib_j1619_1.mm-psplib_j1655_1.mm-psplib_j1643_4.mm-psplib_j1630_9.mm,Diamond,1365.0,570.0,810.6,60%,761.0
48,SP-psplib_j1614_7.mm-psplib_j1637_1.mm-psplib_j1663_3.mm-psplib_j1638_1.mm,16,1.0,16,3.0,SP,64,4,169.0,68.0,146.0,73.0,185.0,Min-Max,0.0,1199.0,514.0,47,226.35007,106.0,317.17615962,5.87412166595,335.435808897,0.0,100%,977.0,350.0,12,56,11,12,44.0,SP-psplib_j1614_7.mm-psplib_j1637_1.mm-psplib_j1663_3.mm-psplib_j1638_1.mm,Diamond,1199.0,456.0,806.4,60%,758.0
48,SP-psplib_j1630_8.mm-psplib_j1611_5.mm-psplib_j169_3.mm-psplib_j1617_10.mm,16,1.0,16,3.0,SP,64,4,128.0,67.0,199.0,185.0,324.0,Min-Max,0.0,1408.0,494.0,91,1005.4254508,182.0,990.578155279,16.2121052742,1006.87123299,0.0,100%,1028.0,397.0,21,92,11,11,11.0,SP-psplib_j1630_8.mm-psplib_j1611_5.mm-psplib_j169_3.mm-psplib_j1617_10.mm,Diamond,1408.0,579.0,830.4,60%,820.0
